law_id,kind,case,date,what,url,source,panel,dissent,checked
2015037,void,בג"ץ 1308/17,2020-06-09,ביטול החוק כולו,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/17/080/013/V48&fileName=17013080_V48.pdf&type=4,wikisource+wikipedia,9,נ' סולברג,2026-09-25
2001238,void,בג"ץ 6298/07,2012-02-21,ביטול החוק כולו (חוק טל),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/07/980/062/N18&fileName=07062980_N18.pdf&type=4,wikipedia,,,
2000451,partial,בג"ץ 1715/97,1997-09-27,ביטול הוראה בסעיף 48 (מבחן למנהלי תיקים ותיקים),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/97/150/017/a15&fileName=97017150_a15.pdf&type=4,wikisource+wikipedia,,,
2000595,partial,בג"ץ 6055/95,1999-10-14,ביטול הוראה בסעיף 237א (מעצר חייל 96 שעות בלי שופט),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/95/550/060/I15&fileName=95060550_I15.pdf&type=4,wikisource+wikipedia,,,
2000002,partial,בג"ץ 1031/99,2002-03-26,ביטול סעיף 3(7) (רישיון שידור לערוץ 7 בלי מכרז),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/99/310/010/e14&fileName=99010310_e14.pdf&type=4,wikipedia,,,
2000695,partial,בג"ץ 1661/05,2005-06-09,ביטול הוראות שהגבילו את פיצויי המפונים,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/05/610/016/a20&fileName=05016610_a20.pdf&type=4,wikipedia,,,
2000436,partial,בג"ץ 8276/05,2006-12-12,ביטול סעיף 5ג,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/05/760/082/a13&fileName=05082760_a13.pdf&type=4,wikisource+wikipedia,,,
2000845,partial,בג"ץ 2605/05,2009-11-19,ביטול תיקון מס' 28 (בית סוהר בניהול פרטי),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/05/050/026/n39&fileName=05026050_n39.pdf&type=4,wikisource+wikipedia,,,
2001120,partial,בג"ץ 8823/07,2010-02-11,ביטול סעיף 5 (דיון במעצר שלא בנוכחות העצור),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/07/230/088/p25&fileName=07088230_p25.pdf&type=4,wikipedia,,,
2000193,partial,בג"ץ 10662/04,2012-02-28,ביטול סעיף 9א(ב) (שלילת הבטחת הכנסה בגלל רכב),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/04/620/106/n44&fileName=04106620_n44.pdf&type=4,wikipedia,,,
2000944,partial,בג"ץ 8300/02,2012-05-22,ביטול הוראות בסעיף 11(ב) (הטבות מס ליישובים בלי קריטריונים),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/02/000/083/n48&fileName=02083000_n48.pdf&type=4,wikipedia,,,
2000760,partial,בג"ץ 7146/12,2013-09-16,ביטול סעיף 30א (משמורת עד שלוש שנים),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/12/460/071/B24&fileName=12071460_B24.pdf&type=4,wikisource+wikipedia,,,
2000760,partial,בג"ץ 7385/13,2014-09-22,ביטול תיקון מס' 4 (משמורת שנה ומרכז השהייה),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/13/850/073/M19&fileName=13073850_M19.pdf&type=4,wikisource+wikipedia,,,
2000767,partial,בג"ץ 5239/11,2015-04-15,ביטול סעיף 2(ג) (פיצוי ללא הוכחת נזק),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/11/390/052/k21&fileName=11052390_k21.pdf&type=4,wikisource+wikipedia,,,
2000760,partial,בג"ץ 8665/14,2015-08-11,ביטול סעיפים 32ד(א) ו-32כא (משך השהייה במרכז השהייה),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/14/650/086/C15&fileName=14086650_C15.pdf&type=4,wikisource+wikipedia,,,
2012974,partial,בג"ץ 10042/16,2017-08-06,ביטול פרק י״ב (מס ריבוי דירות) בגלל פגם בהליך החקיקה,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/16/420/100/o23&fileName=16100420_o23.pdf&type=4,wikisource+wikipedia,,,
2001386,partial,בג"ץ 1877/14,2017-09-12,ביטול פרק ג׳1 (שילוב בוגרי ישיבות),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/14/770/018/C29&fileName=14018770_C29.pdf&type=4,wikisource+wikipedia,,,
2001138,partial,בג"ץ 2293/17,2020-04-23,ביטול חלק העובד בפיקדון (סעיף 1יא1),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/17/930/022/V53&fileName=17022930_V53.pdf&type=4,wikisource+wikipedia,,,
2000198,partial,בג"ץ 3390/16,2021-07-08,ביטול סעיף 325(ב) (שלילת קצבאות מהורי קטין אסיר ביטחוני),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/16/900/033/O42&fileName=16033900_O42.pdf&type=4,wikisource+wikipedia,,,
2000458,partial,בג"ץ 781/15,2021-07-11,ביטול תיקון 2018 שהחריג גברים יחידים וזוגות גברים,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/15/810/007/V73&fileName=15007810_V73.pdf&type=4,wikisource+wikipedia,,,
2001138,partial,בג"ץ 6942/19,2023-07-12,ביטול מנגנון ניכוי כספי הפיקדון (סעיף 1יא(ד)),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/19/420/069/V44&fileName=19069420_V44.pdf&type=4,wikisource+wikipedia,,,
2000042,partial,בג"ץ 5658/23,2024-01-01,ביטול תיקון מס' 3 (צמצום עילת הסבירות),https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/23/580/056/V31&fileName=23056580_V31.pdf&type=4,wikisource,,,
2000040,deferred,בג"ץ 2412/23,2024-01-03,תחולת תיקון הנבצרות נדחתה לכנסת הבאה,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/23/120/024/M24&fileName=23024120_M24.pdf&type=4,wikisource,,,
2000889,partial,בג"ץ 8987/22,2025-01-02,ביטול סעיף 8ד,https://supremedecisions.court.gov.il/Home/Download?path=NetVerdicts/2025/1/2/2022-0-8987-62-2&fileName=4ffc7b6d16c8431d90ce364e5395ba33&type=4,wikisource+wikipedia,,,
2001386,partial,בג"ץ 41953-07-26,2026-09-03,ביטול תיקון מס' 28 (הוראת שעה),https://supremedecisions.court.gov.il/Home/Download?path=NetVerdicts/2026/9/3/2026-7-41953-14-2&fileName=b8ea408bb864495596d32a1ea7b9b90f&type=4,wikisource+wikipedia,,,
2245315,frozen,בג"ץ 49765-07-26,2026-07-19,צו ארעי שהקפיא את החוק,https://supremedecisions.court.gov.il/Home/Download?path=NetVerdicts/2026/7/19/2026-7-49765-3-1&fileName=ea8c03e142864c64bff62589d70b7f0a&type=4,wikisource,,,
